Número;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;LONGITUD;LATITUD;DIRECCION
001a;23/06/2014;01  CENTRO;06 SOL;PLAZA DE LA PUERTA DEL SOL ;1 B;BiciMAD;24;-37.025.753;40.417.016;PUERTA DEL SOL, PLAZA, DE LA,1 B
001b;23/06/2014;01  CENTRO;06 SOL;CALLE DE ALCALA ;1;BiciMAD;24;-37.024.621;404.170.785;ALCALA, CALLE, DE,1
2;23/06/2014;01  CENTRO;05 UNIVERSIDAD;CALLE DE MIGUEL MOYA;1;BiciMAD;27;-37.056.739;4.042.058;MIGUEL MOYA, CALLE, DE,1
3;23/06/2014;07  CHAMBERÍ;02 ARAPILES;PLAZA DEL CONDE DEL VALLE DE SUCHIL ;2;BiciMAD;18;-37.072.122;404.303.224;CONDE DEL VALLE DE SUCHIL, PLAZA, DEL,2
4;23/06/2014;01  CENTRO;05 UNIVERSIDAD;CALLE DE MANUELA MALASAÑA;3;BiciMAD;27;-37.026.739;404.285.905;MANUELA MALASAÑA, CALLE, DE,3
5;23/06/2014;01  CENTRO;04 JUSTICIA;CALLE DE FUENCARRAL ;106;BiciMAD;27;-37.020.762;404.283.628;FUENCARRAL, CALLE, DE,106
6;23/06/2014;01  CENTRO;04 JUSTICIA;CALLE DE HORTALEZA ;63;BiciMAD;24;-36.984.093;404.241.633;HORTALEZA, CALLE, DE,63
7;23/06/2014;01  CENTRO;04 JUSTICIA;CALLE DE HORTALEZA ;75;BiciMAD;21;-36.977.399;404.252.161;HORTALEZA, CALLE, DE,75
8;23/06/2014;07  CHAMBERÍ;04 ALMAGRO;PLAZA DE ALONSO MARTINEZ;6;BiciMAD;24;-36.953.067;404.277.143;ALONSO MARTINEZ, PLAZA, DE,6
9;23/06/2014;01  CENTRO;01 PALACIO;PLAZA DE SAN MIGUEL ;9;BiciMAD;24;-37.094.093;404.156.134;SAN MIGUEL, PLAZA, DE,9
