FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
0;155B Los Patines;TUYO HPC;P. VIera y Clavijo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,26195733;28,46525166
1;155F Barras Paralelas;TUYO HPC;P. VIera y Clavijo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155F.pdf;-16,26190587;28,46527879
2;155H El Jinete;TUYO HPC;P. VIera y Clavijo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,26189269;28,46532814
3;207T Step & Twist;TUYO HPC;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,31187868;28,44314043
4;155B Los Patines;TUYO HPC;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,31223847;28,44292645
5;155F Barras Paralelas;TUYO HPC;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155F.pdf;-16,31274629;28,442625
6;155H El Jinete;TUYO HPC;Avda. Los Majuelos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,31305879;28,44243894
7;202T Bicicleta Estática;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,24871112;28,46187106
8;155B Los Patines;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,24865641;28,46197408
9;154B Esquí de Fondo;TUYO HPC;Avda. Marítima;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,24860566;28,46206241
10;155B Los Patines;TUYO HPC;Fernández Navarro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,25387779;28,46189409
11;207T Step & Twist;TUYO HPC;Fernández Navarro;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,25384865;28,46189333
12;202T Bicicleta Estática;TUYO HPC;Ganivet;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26860138;28,46005851
13;155B Los Patines;TUYO HPC;Ganivet;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,26860216;28,46002659
14;202T Bicicleta Estática;TUYO HPC;P. La Granja;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26632758;28,46240629
15;154B Esquí de Fondo;TUYO HPC;P. La Granja;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,266235;28,46226403
16;154D Sube y Baja;TUYO HPC;P. La Granja;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154D.pdf;-16,26631791;28,46218191
17;202T Bicicleta Estática;TUYO HPC;San Juan de la Rambla;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27621772;28,47006999
18;207T Step & Twist;TUYO HPC;San Juan de la Rambla;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,27623263;28,47005029
19;154G Rueda Grande;TUYO HPC;Pza. La Victoria;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,25982022;28,45898871
20;155B Los Patines;TUYO HPC;Pza. La Victoria;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,25981055;28,45895894
21;202T Bicicleta Estática;TUYO HPC;Pza. García Escámez;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,273002;28,45520575
22;155I El Remo;TUYO HPC;Pza. García Escámez;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,2729129;28,45513477
23;154B Esquí de Fondo;TUYO HPC;Pza. García Escámez;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,27286304;28,4551306
24;AMM-019 Torsión de Tronc;Kido;Pza. García Escámez; ;-16,27277533;28,45517621
25;AMM-017 Stepper;Kido;Pza. García Escámez; ;-16,2727587;28,45517405
26;AMM-018 Bicicleta Est.;Kido;Pza. San José; ;-16,33358575;28,42507268
27;AMM-012 Movimiento Brazo;Kido;Pza. San José; ;-16,33363388;28,42506582
28;AMM-011 Escalera Dedos;Kido;Pza. María Auxiliadora; ;-16,2574281;28,46510869
29;155I El Remo;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,28610772;28,45097263
30;202T Bicicleta Estática;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,28616243;28,4507634
31;155E Silla Pectorales;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,28591142;28,4513097
32;154B Esquí de Fondo;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,28586386;28,45151886
33;AMM-015 Mov. Ondular;Kido;Avda. Príncipes de España; ;-16,28477971;28,45381482
34;AMM-018 Bicicleta Est.;Kido;Avda. Príncipes de España; ;-16,28476551;28,45384813
35;AMM-013 Mov. Circ. Brazo;Kido;Avda. Príncipes de España; ;-16,28474927;28,45388515
36;154B Esquí de Fondo;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,31927813;28,43131608
37;155I El Remo;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,31924793;28,43134658
38;155C Giro de Cintura;TUYO HPC;P. Santa Catalina;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155C.pdf;-16,31935385;28,43133124
