COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;COD_VIAL;CLASE_VIAL;PARTICULAR_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LONGITUD;LATITUD
60001;APARCABICICLETAS;457803;20003766;PLAZA DE SANTO DOMINGO 19;Pz. SANTO DOMINGO Nº19;702300;PLAZA;DE;SANTO DOMINGO;N;19;011;PALACIO;01;CENTRO;439930,1843;4474589,093;-3.7080776;40.4197623
60001;APARCABICICLETAS;457804;20003766;PLAZA DE SANTO DOMINGO 19;Pz. SANTO DOMINGO Nº19;702300;PLAZA;DE;SANTO DOMINGO;N;19;011;PALACIO;01;CENTRO;439914,3092;4474610,524;-3.7082667;40.4199542
60001;APARCABICICLETAS;457807;11000185;CUESTA DE SANTO DOMINGO 14;CUESTA SANTO DOMINGO Nº14;702200;CUESTA;DE;SANTO DOMINGO;N;14;011;PALACIO;01;CENTRO;439844,1945;4474592,664;-3.7090915;40.4197882
60001;APARCABICICLETAS;457815;31026055;PLAZA DE ISABEL II 6;Pz. ISABEL II Nº6;378200;PLAZA;DE;ISABEL II;N;6;011;PALACIO;01;CENTRO;439824,2184;4474423,436;-3.7093109;40.4182623
60001;APARCABICICLETAS;457818;20003836;PLAZA DE ISABEL II 8;Pz. ISABEL II Nº8;378200;PLAZA;DE;ISABEL II;N;8;011;PALACIO;01;CENTRO;439822,7632;4474397,11;-3.7093256;40.4180251
60001;APARCABICICLETAS;457820;31037358;CALLE DE VERGARA 3;C/ VERGARA Nº3;776900;CALLE;DE;VERGARA;N;3;011;PALACIO;01;CENTRO;439717,5911;4474380,177;-3.7105636;40.4178649
60001;APARCABICICLETAS;457823;31037355;CALLE DE SANTA CLARA 1;C/ SANTA CLARA Nº1;693300;CALLE;DE;SANTA CLARA;N;1;011;PALACIO;01;CENTRO;439692,3234;4474257,807;-3.7108498;40.4167607
60001;APARCABICICLETAS;457830;11000048;CALLE MAYOR 86;C/ MAYOR Nº86;497800;CALLE;;MAYOR;N;86;011;PALACIO;01;CENTRO;439528,546;4474088,052;-3.712764;40.4152196
60001;APARCABICICLETAS;457832;11000040;CALLE MAYOR 83;C/ MAYOR Nº83;497800;CALLE;;MAYOR;N;83;011;PALACIO;01;CENTRO;439396,254;4474067,943;-3.7143212;40.4150288
60001;APARCABICICLETAS;457833;20007178;CALLE DE SEGOVIA 75;C/ SEGOVIA Nº75;706300;CALLE;DE;SEGOVIA;N;75;011;PALACIO;01;CENTRO;438858,6196;4473967,269;-3.720648;40.4140826
60001;APARCABICICLETAS;457834;11000942;CALLE DE BAILEN 41;C/ BAILEN Nº41;88200;CALLE;DE;BAILEN;N;41;011;PALACIO;01;CENTRO;439439,7781;4473724,514;-3.7137756;40.4119382
60001;APARCABICICLETAS;457837;11000965;CARRERA DE SAN FRANCISCO 6;CARRERA SAN FRANCISCO Nº6;669000;CARRERA;DE;SAN FRANCISCO;N;6;011;PALACIO;01;CENTRO;439534,4991;4473625,295;-3.7126498;40.4110513
60001;APARCABICICLETAS;457844;31026434;PLAZA DE LA PUERTA DE MOROS 5;Pz. PUERTA DE MOROS Nº5;614800;PLAZA;DE LA;PUERTA DE MOROS;N;5;011;PALACIO;01;CENTRO;439634,7764;4473650,695;-3.7114704;40.4112874
60001;APARCABICICLETAS;457845;11000698;PLAZA DE LA PAJA 3;Pz. DE LA PAJA Nº3;557650;PLAZA;DE LA;PAJA;N;3;011;PALACIO;01;CENTRO;439609,9055;4473831,273;-3.7117807;40.4129123
60001;APARCABICICLETAS;457848;11000578;PLAZA DE LA CRUZ VERDE 1;Pz. CRUZ VERDE Nº1;221900;PLAZA;DE LA;CRUZ VERDE;N;1;011;PALACIO;01;CENTRO;439585,4315;4473947,029;-3.7120801;40.4139533
60001;APARCABICICLETAS;457850;31041185;CALLE DE SEGOVIA 11;C/ SEGOVIA Nº11;706300;CALLE;DE;SEGOVIA;N;11;011;PALACIO;01;CENTRO;439730,9526;4473880,296;-3.7103587;40.4133627
