Rótulo,Horario,Dirección,Código postal,Precio gases licuados del petroleo,Precio gasoleo A,Precio gasolina 95 protección,Precio gasolina 98,Precio nuevo gasoleo A,lat,lon
"SHELL","L-D: 06:00-22:00","CARRETERA M-603 KM. 14,900",28100,,1.289,1.359,1.499,1.369,40.528806,-3.651583
"SHELL","L-S: 06:00-00:00; D: 09:00-17:00","AVENIDA VALDELAPARRA, 3",28100,,1.289,1.359,1.499,1.369,40.537250,-3.643194
"CARREFOUR","L-D: 24H","CARRETERA A-1 KM. 14,500",28100,,1.289,1.349,1.449,1.319,40.528194,-3.649417
"GALP","L-D: 24H","CARRETERA ANTIGUA NACIONAL I KM. 15,5",28100,0.681,1.309,1.349,1.459,1.399,40.532806,-3.642250
"GALP","L-D: 24H","AVENIDA VALDELAPARRA (DE), 5",28100,,1.309,1.349,1.459,1.399,40.548306,-3.662056
"CEPSA","L-D: 07:00-23:00","AVENIDA EUROPA (C.C. LA MORALEJA), 13/15",28100,,1.289,1.359,1.474,1.349,40.520111,-3.657528
"CEPSA","L-D: 06:00-22:00","PASEO ALCOBENDAS (DE), 10",28100,,1.345,,1.499,1.405,40.527889,-3.622306
"REPOSTA ALCOBENDAS","L-D: 24H","AVENIDA MARQUES DE LA VALDAVIA, 132",28100,,1.239,1.319,,,40.546556,-3.651861
"BP","L-D: 06:00-22:00","CALLE VALGRANDE (DE), 11",28100,,1.259,1.339,,,40.536583,-3.649778
"VALDAVIA","L-D: 24H","CALLE MARQUES DE LA VALDAVIA (DEL), 138",28100,,1.259,1.339,1.481,1.344,40.546944,-3.653944
"BP EL SAPO-ALCOBENDAS","L-D: 07:00-23:00","AVD. MONTE VALDELATAS ESQ. SEPULVEDA, S/N",28100,,1.279,1.349,1.491,1.364,40.528722,-3.659667
"REPSOL","L-D: 07:00-23:00","BOULEVARD SALVADOR ALLENDE, 13",28100,,1.309,1.349,1.459,1.389,40.537833,-3.634389
"BP JUNCAL","L-D: 24H","CARRETERA BARAJAS KM. S/N",28100,,1.259,1.339,1.481,1.344,40.534083,-3.618944
"REPSOL","L-D: 06:00-00:00","CR M-603, 14,1",28100,,1.289,1.359,1.479,1.359,40.525778,-3.654889
"REPSOL","L-D: 24H","CL AVENIDA DE ESPA¿A, S.N.",28100,0.710,1.299,1.349,1.469,1.379,40.546167,-3.634639
"REPSOL","L-D: 06:00-23:00","CL BOULEVARD SALVADOR ALLENDE, 12-1",28108,,1.309,1.349,1.459,1.389,40.537500,-3.633944
"ALCAMPO","L-D: 24H","AVENIDA OLIMPICA, 9",28108,,1.187,1.267,1.419,1.229,40.535194,-3.636806
"REPSOL","L-V: 06:00-22:00; S: 07:00-14:00","CALLE FRANCISCO GERVAS, 13",28108,,1.269,1.319,1.419,1.339,40.533722,-3.652250
"REPSOL","L-S: 07:00-22:00; D: 09:00-15:00","PLAZA MORALEJA S/N, S/N",28109,,1.309,1.369,,,40.515639,-3.651083
"BALLENOIL","L-D: 24H","AVENIDA TENERIFE, 10",28700,,1.169,1.269,,,40.559389,-3.622861
"BALLENOIL","L-D: 24H","PASEO EUROPA, 22",28700,,1.187,1.279,,,40.545917,-3.622917
"PETROPRIX","L-D: 24H","AVENIDA FUENTE NUEVA, 18",28700,,1.167,1.257,,,40.547667,-3.612472
"CEPSA","L-D: 24H","N-I (MADRID-BURGOS) km 24,100",28700,,1.254,,,,40.590889,-3.581778
"GALP","L-D: 24H","AUTOVIA NACIONAL I KM. 26,200",28700,,1.244,1.339,1.429,1.334,40.608694,-3.579000
"CEPSA","L-D: 24H","CTRA. BURGOS",28700,,1.254,1.349,1.439,1.274,40.590500,-3.582583
"SHELL","L-D: 24H","AVENIDA FUENTENUEVA, 1",28700,,1.249,1.329,1.479,1.339,40.547750,-3.610750
"SHELL","L-D: 06:00-00:00","CARRETERA ANTIGUA N-I CV CAMINO REDESA KM. S/N",28700,,1.249,1.329,1.469,1.329,40.565556,-3.605472
"SETOR","L-D: 06:00-00:00","N-I  (BURGOS-MADRID) km 24,100",28700,,1.219,1.319,,1.229,40.590944,-3.583417
"REPSOL","L-D: 07:00-23:00","CL AVDA. EINSTEIN, 5",28700,0.710,1.249,1.339,1.459,1.299,40.544417,-3.610167
"REPSOL","L-D: 24H","CR N-1, 18,6",28700,0.710,1.249,1.339,1.459,1.299,40.545778,-3.606500
"REPSOL","L-V: 06:00-23:00; S-D: 07:00-23:00","CL REAL  (ANTIGUA N-1), 120",28700,,1.239,1.345,1.485,1.269,40.552500,-3.618861
"REPSOL","L-V: 06:30-00:30; S-D: 07:00-23:00","CL AVDA TENERIFE, 18",28700,,1.209,1.305,1.445,1.239,40.560250,-3.620056
"CEPSA","L-D: 24H","AVENIDA TENERIFE (DE), 14",28700,,1.189,1.284,1.399,1.219,40.559528,-3.621750
"BP","L-D: 06:00-00:00","GLORIETA ANTONIO GAUDI, ",28700,,1.249,1.329,1.471,1.334,40.557833,-3.612611
"HAM","L-D: 24H","AUTOVIA NACIONAL I KM. 26,200",28700,,,,,,40.608417,-3.578833
"BALLENOIL","L-D: 24H","AVENIDA PIRINEOS (DE LOS), 21",28700,,1.187,1.279,,,40.551972,-3.610083
