Gis_X;Gis_Y;Distrito;Barrio;Calle;Nº Finca;Color;Batería/Línea;Número de Plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;Verde;Línea;8
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;Verde;Línea;5
439589,03;4473514,18;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;1;Verde;Línea;2
439582,91;4473505,68;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;4;Verde;Línea;2
439575,49;4473495,34;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;8;Verde;Línea;3
439558,35;4473470,48;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;Verde;Línea;8
439536,49;4473428,32;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;Verde;Línea;4
439525,36;4473404,28;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;Verde;Línea;4
439585,13;4473916,72;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Verde;Línea;2
439598,21;4473917,52;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;Verde;Línea;3
439097,77;4473640,65;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;4
439090,09;4473635,79;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;Verde;Línea;1
439130,32;4473643,97;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;Verde;Línea;6
439129,02;4473639,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;Verde;Línea;13
439849,67;4473828,18;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;Verde;Línea;3
439820,49;4473821,97;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;6;Verde;Línea;1
439773,76;4473804,41;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;Verde;Línea;4
439748,29;4474317,87;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;Verde;Línea;4
439710,65;4474308,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;Verde;Línea;3
439672,91;4474299,24;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;Verde;Línea;4
439502,54;4473486,08;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;4
439904,38;4474455,99;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;5;Verde;Línea;10
439920,17;4474499,33;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;Verde;Línea;4
439927,81;4474538,2;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;13;Verde;Línea;2
439933,29;4474565,32;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;Verde;Línea;4
439505,82;4473783,6;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;1;Verde;Línea;2
439766,1;4474459,92;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;2;Verde;Línea;4
439706,22;4474507,94;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;9;Verde;Línea;3
439681,59;4474534,24;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;15;Verde;Línea;3
439674,45;4474541,75;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;Verde;Línea;1
439450,57;4473936,95;01  CENTRO;01-01 PALACIO;BAILEN, CALLE, DE;S/N;Verde;Línea;3
439351,98;4473875,53;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;Verde;Línea;2
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439259,13;4473850,22;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;35
439298,76;4473760,88;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;19
439724,66;4473414,35;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;1;Verde;Línea;3
439681,82;4473418,95;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;9;Verde;Línea;17
439630,32;4473424,66;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;Verde;Línea;2
439595,58;4473427,73;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;Verde;Línea;8
439570,91;4473438,1;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;24;Verde;Línea;10
439562,11;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;Verde;Línea;11
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;Verde;Línea;11
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;13
439465,91;4473515,93;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;11
439481,7;4473483,2;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;Verde;Línea;3
439806,5;4474475,36;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;2;Verde;Línea;5
439833,74;4474530,63;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;9;Verde;Línea;12
439833,18;4474566,92;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;15;Verde;Línea;3
439882,6;4474486,32;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;Verde;Línea;14
439503,72;4473884,11;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;Verde;Línea;7
439497,73;4473883,37;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;Verde;Línea;5
439910,74;4473770,38;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;Verde;Línea;6
439837,33;4473752,74;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;15;Verde;Línea;12
439755,99;4473708,19;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;34;Verde;Línea;8
439727,49;4473688,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439725,45;4473691,08;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;38;Verde;Línea;2
439908,7;4473893,4;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;4;Verde;Línea;3
439897,36;4473871,42;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;8;Verde;Línea;6
439886,99;4473853,01;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;Verde;Línea;1
439882,88;4473844,18;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;14;Verde;Línea;2
439869,32;4473818,17;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;Verde;Línea;2
439771,16;4473736,97;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;37;Verde;Línea;14
439732,49;4473715,18;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;47;Verde;Línea;4
439871,7;4474112,65;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;Verde;Línea;3
439825,87;4473561,16;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;1
439787,14;4473588,95;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;5
439754,91;4473586,46;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;5;Verde;Línea;9
439810,74;4473571,88;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;S/N;Verde;Línea;6
439845,41;4473656,73;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;Verde;Batería;18
