Gis_X,Gis_Y,Distrito,Barrio,Calle,Nº Finca,Color,Batería/Línea,Número de Plazas,Location,Address
"439592.91,4473566.23,01  CENTRO,01-01 PALACIO,AGUAS; CALLE; DE LAS,2,Verde,Línea,8,439592.91:4473566.23, CALLE  DE LAS AGUAS 2"
"439569.7,4473598.77,01  CENTRO,01-01 PALACIO,AGUAS; CALLE; DE LAS,8,Verde,Línea,5,439569.7:4473598.77, CALLE  DE LAS AGUAS 8"
"439589.3,4473514.18,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,1,Verde,Línea,2,439589.3:4473514.18, CALLE  DEL AGUILA 1"
"439582.91,4473505.68,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,4,Verde,Línea,2,439582.91:4473505.68, CALLE  DEL AGUILA 4"
"439575.49,4473495.34,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,8,Verde,Línea,3,439575.49:4473495.34, CALLE  DEL AGUILA 8"
"439558.35,4473470.48,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,12,Verde,Línea,8,439558.35:4473470.48, CALLE  DEL AGUILA 12"
"439536.49,4473428.32,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,17,Verde,Línea,4,439536.49:4473428.32, CALLE  DEL AGUILA 17"
"439525.36,4473404.28,01  CENTRO,01-01 PALACIO,AGUILA; CALLE; DEL,21,Verde,Línea,4,439525.36:4473404.28, CALLE  DEL AGUILA 21"
"439585.13,4473916.72,01  CENTRO,01-01 PALACIO,ALAMILLO; CALLE; DEL,1,Verde,Línea,2,439585.13:4473916.72, CALLE  DEL ALAMILLO 1"
"439598.21,4473917.52,01  CENTRO,01-01 PALACIO,ALAMILLO; CALLE; DEL,2,Verde,Línea,3,439598.21:4473917.52, CALLE  DEL ALAMILLO 2"
"439097.77,4473640.65,01  CENTRO,01-01 PALACIO,ALGECIRAS; CALLE; DE,1,Verde,Línea,4,439097.77:4473640.65, CALLE  DE ALGECIRAS 1"
"439090.9,4473635.79,01  CENTRO,01-01 PALACIO,ALGECIRAS; CALLE; DE,2,Verde,Línea,1,439090.9:4473635.79, CALLE  DE ALGECIRAS 2"
"439130.32,4473643.97,01  CENTRO,01-01 PALACIO,ALGECIRAS; CALLE; DE,5,Verde,Línea,6,439130.32:4473643.97, CALLE  DE ALGECIRAS 5"
"439129.2,4473639.93,01  CENTRO,01-01 PALACIO,ALGECIRAS; CALLE; DE,6,Verde,Línea,13,439129.2:4473639.93, CALLE  DE ALGECIRAS 6"
"439849.67,4473828.18,01  CENTRO,01-01 PALACIO,ALMENDRO; CALLE; DEL,4,Verde,Línea,3,439849.67:4473828.18, CALLE  DEL ALMENDRO 4"
"439820.49,4473821.97,01  CENTRO,01-01 PALACIO,ALMENDRO; CALLE; DEL,6,Verde,Línea,1,439820.49:4473821.97, CALLE  DEL ALMENDRO 6"
"439773.76,4473804.41,01  CENTRO,01-01 PALACIO,ALMENDRO; CALLE; DEL,12,Verde,Línea,4,439773.76:4473804.41, CALLE  DEL ALMENDRO 12"
"439748.29,4474317.87,01  CENTRO,01-01 PALACIO,AMNISTIA; CALLE; DE LA,2,Verde,Línea,4,439748.29:4474317.87, CALLE  DE LA AMNISTIA 2"
"439710.65,4474308.34,01  CENTRO,01-01 PALACIO,AMNISTIA; CALLE; DE LA,5,Verde,Línea,3,439710.65:4474308.34, CALLE  DE LA AMNISTIA 5"
"439672.91,4474299.24,01  CENTRO,01-01 PALACIO,AMNISTIA; CALLE; DE LA,7,Verde,Línea,4,439672.91:4474299.24, CALLE  DE LA AMNISTIA 7"
"439502.54,4473486.8,01  CENTRO,01-01 PALACIO,ANGEL; CALLE; DEL,19,Verde,Línea,4,439502.54:4473486.8, CALLE  DEL ANGEL 19"
"439904.38,4474455.99,01  CENTRO,01-01 PALACIO,ANGELES; COSTANILLA; DE LOS,5,Verde,Línea,10,439904.38:4474455.99, COSTANILLA  DE LOS ANGELES 5"
"439920.17,4474499.33,01  CENTRO,01-01 PALACIO,ANGELES; COSTANILLA; DE LOS,9,Verde,Línea,4,439920.17:4474499.33, COSTANILLA  DE LOS ANGELES 9"
"439927.81,4474538.2,01  CENTRO,01-01 PALACIO,ANGELES; COSTANILLA; DE LOS,13,Verde,Línea,2,439927.81:4474538.2, COSTANILLA  DE LOS ANGELES 13"
"439933.29,4474565.32,01  CENTRO,01-01 PALACIO,ANGELES; COSTANILLA; DE LOS,20,Verde,Línea,4,439933.29:4474565.32, COSTANILLA  DE LOS ANGELES 20"
"439505.82,4473783.6,01  CENTRO,01-01 PALACIO,ANGOSTA DE LOS MANCEBOS; CALLE;,1,Verde,Línea,2,439505.82:4473783.6, CALLE  ANGOSTA DE LOS MANCEBOS 1"
"439766.1,4474459.92,01  CENTRO,01-01 PALACIO,ARRIETA; CALLE; DE,2,Verde,Línea,4,439766.1:4474459.92, CALLE  DE ARRIETA 2"
"439706.22,4474507.94,01  CENTRO,01-01 PALACIO,ARRIETA; CALLE; DE,9,Verde,Línea,3,439706.22:4474507.94, CALLE  DE ARRIETA 9"
"439681.59,4474534.24,01  CENTRO,01-01 PALACIO,ARRIETA; CALLE; DE,15,Verde,Línea,3,439681.59:4474534.24, CALLE  DE ARRIETA 15"
"439674.45,4474541.75,01  CENTRO,01-01 PALACIO,ARRIETA; CALLE; DE,17,Verde,Línea,1,439674.45:4474541.75, CALLE  DE ARRIETA 17"
"439450.57,4473936.95,01  CENTRO,01-01 PALACIO,BAILEN; CALLE; DE,S/N,Verde,Línea,3,439450.57:4473936.95, CALLE  DE BAILEN S/N"
"439351.98,4473875.53,01  CENTRO,01-01 PALACIO,BEATRIZ GALINDO; CALLE; DE,1,Verde,Línea,2,439351.98:4473875.53, CALLE  DE BEATRIZ GALINDO 1"
"439397.36,4473898.54,01  CENTRO,01-01 PALACIO,BEATRIZ GALINDO; CALLE; DE,S/N,Verde,Línea,17,439397.36:4473898.54, CALLE  DE BEATRIZ GALINDO S/N"
"439259.13,4473850.22,01  CENTRO,01-01 PALACIO,BEATRIZ GALINDO; CALLE; DE,S/N,Verde,Línea,35,439259.13:4473850.22, CALLE  DE BEATRIZ GALINDO S/N"
"439298.76,4473760.88,01  CENTRO,01-01 PALACIO,BEATRIZ GALINDO; CALLE; DE,S/N,Verde,Línea,19,439298.76:4473760.88, CALLE  DE BEATRIZ GALINDO S/N"
"439724.66,4473414.35,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,1,Verde,Línea,3,439724.66:4473414.35, CALLE  DE CALATRAVA 1"
"439681.82,4473418.95,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,9,Verde,Línea,17,439681.82:4473418.95, CALLE  DE CALATRAVA 9"
"439630.32,4473424.66,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,17,Verde,Línea,2,439630.32:4473424.66, CALLE  DE CALATRAVA 17"
"439595.58,4473427.73,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,21,Verde,Línea,8,439595.58:4473427.73, CALLE  DE CALATRAVA 21"
"439570.91,4473438.1,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,24,Verde,Línea,10,439570.91:4473438.1, CALLE  DE CALATRAVA 24"
"439562.11,4473437.26,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,29,Verde,Línea,6,439562.11:4473437.26, CALLE  DE CALATRAVA 29"
"439515.95,4473460.6,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,30,Verde,Línea,11,439515.95:4473460.6, CALLE  DE CALATRAVA 30"
"439513.7,4473457.45,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,33,Verde,Línea,11,439513.7:4473457.45, CALLE  DE CALATRAVA 33"
"439472.83,4473512.59,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,36,Verde,Línea,13,439472.83:4473512.59, CALLE  DE CALATRAVA 36"
"439465.91,4473515.93,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,36,Verde,Línea,11,439465.91:4473515.93, CALLE  DE CALATRAVA 36"
"439481.7,4473483.2,01  CENTRO,01-01 PALACIO,CALATRAVA; CALLE; DE,37,Verde,Línea,3,439481.7:4473483.2, CALLE  DE CALATRAVA 37"
"439806.5,4474475.36,01  CENTRO,01-01 PALACIO,CAMPOMANES; CALLE; DE,2,Verde,Línea,5,439806.5:4474475.36, CALLE  DE CAMPOMANES 2"
"439833.74,4474530.63,01  CENTRO,01-01 PALACIO,CAMPOMANES; CALLE; DE,9,Verde,Línea,12,439833.74:4474530.63, CALLE  DE CAMPOMANES 9"
"439833.18,4474566.92,01  CENTRO,01-01 PALACIO,CAMPOMANES; CALLE; DE,15,Verde,Línea,3,439833.18:4474566.92, CALLE  DE CAMPOMANES 15"
"439882.6,4474486.32,01  CENTRO,01-01 PALACIO,CAÑOS DEL PERAL; CALLE; DE LOS,4,Verde,Línea,14,439882.6:4474486.32, CALLE  DE LOS CAÑOS DEL PERAL 4"
"439503.72,4473884.11,01  CENTRO,01-01 PALACIO,CAÑOS VIEJOS; CUESTA; DE LOS,2,Verde,Línea,7,439503.72:4473884.11, CUESTA  DE LOS CAÑOS VIEJOS 2"
"439497.73,4473883.37,01  CENTRO,01-01 PALACIO,CAÑOS VIEJOS; CUESTA; DE LOS,3,Verde,Línea,5,439497.73:4473883.37, CUESTA  DE LOS CAÑOS VIEJOS 3"
"439910.74,4473770.38,01  CENTRO,01-01 PALACIO,CAVA ALTA; CALLE; DE LA,5,Verde,Línea,6,439910.74:4473770.38, CALLE  DE LA CAVA ALTA 5"
"439837.33,4473752.74,01  CENTRO,01-01 PALACIO,CAVA ALTA; CALLE; DE LA,15,Verde,Línea,12,439837.33:4473752.74, CALLE  DE LA CAVA ALTA 15"
"439755.99,4473708.19,01  CENTRO,01-01 PALACIO,CAVA ALTA; CALLE; DE LA,34,Verde,Línea,8,439755.99:4473708.19, CALLE  DE LA CAVA ALTA 34"
"439727.49,4473688.8,01  CENTRO,01-01 PALACIO,CAVA ALTA; CALLE; DE LA,38,Verde,Línea,2,439727.49:4473688.8, CALLE  DE LA CAVA ALTA 38"
"439725.45,4473691.8,01  CENTRO,01-01 PALACIO,CAVA ALTA; CALLE; DE LA,38,Verde,Línea,2,439725.45:4473691.8, CALLE  DE LA CAVA ALTA 38"
"439908.7,4473893.4,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,4,Verde,Línea,3,439908.7:4473893.4, CALLE  DE LA CAVA BAJA 4"
"439897.36,4473871.42,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,8,Verde,Línea,6,439897.36:4473871.42, CALLE  DE LA CAVA BAJA 8"
"439886.99,4473853.1,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,12,Verde,Línea,1,439886.99:4473853.1, CALLE  DE LA CAVA BAJA 12"
"439882.88,4473844.18,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,14,Verde,Línea,2,439882.88:4473844.18, CALLE  DE LA CAVA BAJA 14"
"439869.32,4473818.17,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,18,Verde,Línea,2,439869.32:4473818.17, CALLE  DE LA CAVA BAJA 18"
"439771.16,4473736.97,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,37,Verde,Línea,14,439771.16:4473736.97, CALLE  DE LA CAVA BAJA 37"
"439732.49,4473715.18,01  CENTRO,01-01 PALACIO,CAVA BAJA; CALLE; DE LA,47,Verde,Línea,4,439732.49:4473715.18, CALLE  DE LA CAVA BAJA 47"
"439871.7,4474112.65,01  CENTRO,01-01 PALACIO,CAVA DE SAN MIGUEL; CALLE; DE LA,3,Verde,Línea,3,439871.7:4474112.65, CALLE  DE LA CAVA DE SAN MIGUEL 3"
"439825.87,4473561.16,01  CENTRO,01-01 PALACIO,CEBADA; CALLE; DE LA,1,Verde,Línea,1,439825.87:4473561.16, CALLE  DE LA CEBADA 1"
"439787.14,4473588.95,01  CENTRO,01-01 PALACIO,CEBADA; CALLE; DE LA,1,Verde,Línea,5,439787.14:4473588.95, CALLE  DE LA CEBADA 1"
"439754.91,4473586.46,01  CENTRO,01-01 PALACIO,CEBADA; CALLE; DE LA,5,Verde,Línea,9,439754.91:4473586.46, CALLE  DE LA CEBADA 5"
"439810.74,4473571.88,01  CENTRO,01-01 PALACIO,CEBADA; CALLE; DE LA,S/N,Verde,Línea,6,439810.74:4473571.88, CALLE  DE LA CEBADA S/N"
"439845.41,4473656.73,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,3,Verde,Batería,18,439845.41:4473656.73, PLAZA  DE LA CEBADA 3"
"439819.66,4473650.74,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,5,Verde,Línea,4,439819.66:4473650.74, PLAZA  DE LA CEBADA 5"
"439810.92,4473661.36,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,6,Verde,Batería,4,439810.92:4473661.36, PLAZA  DE LA CEBADA 6"
"439798.47,4473663.35,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,6,Verde,Batería,3,439798.47:4473663.35, PLAZA  DE LA CEBADA 6"
"439788.67,4473665.13,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,7,Verde,Batería,1,439788.67:4473665.13, PLAZA  DE LA CEBADA 7"
"439764.67,4473658.84,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,9,Verde,Línea,4,439764.67:4473658.84, PLAZA  DE LA CEBADA 9"
"439743.,4473670.75,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,10,Verde,Batería,16,439743.:4473670.75, PLAZA  DE LA CEBADA 10"
"439745.4,4473661.78,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,10,Verde,Línea,3,439745.4:4473661.78, PLAZA  DE LA CEBADA 10"
"439792.95,4473654.87,01  CENTRO,01-01 PALACIO,CEBADA; PLAZA; DE LA,17,Verde,Línea,4,439792.95:4473654.87, PLAZA  DE LA CEBADA 17"
"439021.38,4474066.43,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Batería,5,439021.38:4474066.43, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"439103.63,4474048.5,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,30,439103.63:4474048.5, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"439024.87,4474043.52,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Batería,6,439024.87:4474043.52, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"438881.35,4474062.11,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,3,438881.35:4474062.11, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"439103.85,4474056.23,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,30,439103.85:4474056.23, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"438933.31,4474060.41,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,3,438933.31:4474060.41, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"438945.45,4474053.19,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,24,438945.45:4474053.19, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"438974.57,4474059.57,01  CENTRO,01-01 PALACIO,CIUDAD DE PLASENCIA; PASEO; DE LA,S/N,Naranja,Línea,13,438974.57:4474059.57, PASEO  DE LA CIUDAD DE PLASENCIA S/N"
"439868.52,4474194.68,01  CENTRO,01-01 PALACIO,COMANDANTE LAS MORENAS; PLAZA; DEL,3,Verde,Línea,3,439868.52:4474194.68, PLAZA  DEL COMANDANTE LAS MORENAS 3"
"439616.6,4474228.17,01  CENTRO,01-01 PALACIO,CRUZADA; CALLE; DE LA,5,Verde,Línea,2,439616.6:4474228.17, CALLE  DE LA CRUZADA 5"
"439371.54,4473301.89,01  CENTRO,01-01 PALACIO,DESCARGAS; CUESTA; DE LAS,3,Verde,Línea,25,439371.54:4473301.89, CUESTA  DE LAS DESCARGAS 3"
"439318.19,4473344.84,01  CENTRO,01-01 PALACIO,DESCARGAS; CUESTA; DE LAS,10,Verde,Línea,1,439318.19:4473344.84, CUESTA  DE LAS DESCARGAS 10"
