Barrio;Color;"Nº Plazas
por color";"Nº Plazas
por Barrio"
01-01 PALACIO;Azul;;
01-01 PALACIO;Verde;2037;
01-01 PALACIO;Larga estancia;194;2231
01-02 EMBAJADORES;Azul;;
01-02 EMBAJADORES;Verde;2412;2412
01-03 CORTES;Azul;127;
01-03 CORTES;Verde;538;665
01-04 JUSTICIA;Azul;1;
01-04 JUSTICIA;Verde;1614;1615
01-05 UNIVERSIDAD;Azul;442;
01-05 UNIVERSIDAD;Verde;1512;1954
01-06 SOL;Azul;;
01-06 SOL;Verde;357;357
02-01 IMPERIAL;Azul;686;
02-01 IMPERIAL;Verde;2986;3672
02-02 ACACIAS;Azul;703;
02-02 ACACIAS;Verde;3069;3772
02-03 CHOPERA;Azul;292;
02-03 CHOPERA;Verde;1615;1907
02-04 LEGAZPI;Azul;688;
02-04 LEGAZPI;Verde;2499;3187
02-05 DELICIAS;Azul;825;
02-05 DELICIAS;Verde;2481;3306
02-06 PALOS DE MOGUER;Azul;459;
02-06 PALOS DE MOGUER;Verde;2495;2954
02-07 ATOCHA;Azul;785;
02-07 ATOCHA;Verde;537;1322
03-01 PACÍFICO;Azul;433;
03-01 PACÍFICO;Verde;2370;2803
03-02 ADELFAS;Azul;339;
03-02 ADELFAS;Verde;2168;2507
03-03 ESTRELLA;Azul;522;
03-03 ESTRELLA;Verde;3122;3644
03-04 IBIZA;Azul;371;
03-04 IBIZA;Verde;1666;2037
03-05 JERÓNIMOS;Azul;417;
03-05 JERÓNIMOS;Verde;1510;1927
03-06 NIÑO JESÚS;Azul;418;
03-06 NIÑO JESÚS;Verde;2192;2610
04-01 RECOLETOS;Azul;568;
04-01 RECOLETOS;Verde;1858;2426
04-02 GOYA;Azul;412;
04-02 GOYA;Verde;2521;2933
04-03 FUENTE DEL BERRO;Azul;233;
04-03 FUENTE DEL BERRO;Verde;1941;2174
04-04 GUINDALERA;Azul;1568;
04-04 GUINDALERA;Verde;5222;6790
04-05 LISTA;Azul;353;
04-05 LISTA;Verde;1505;1858
04-06 CASTELLANA;Azul;431;
04-06 CASTELLANA;Verde;2059;2490
05-01 EL VISO;Azul;1455;
05-01 EL VISO;Verde;4440;5895
05-02 PROSPERIDAD;Azul;816;
05-02 PROSPERIDAD;Verde;3763;4579
05-03 CIUDAD JARDÍN;Azul;688;
05-03 CIUDAD JARDÍN;Verde;2677;3365
05-04 HISPANOAMÉRICA;Azul;1588;
05-04 HISPANOAMÉRICA;Verde;5332;6920
05-05 NUEVA ESPAÑA;Azul;1489;
05-05 NUEVA ESPAÑA;Verde;5261;6750
05-06 CASTILLA;Azul;931;
05-06 CASTILLA;Verde;2873;3804
06-01 BELLAS VISTAS;Azul;321;
06-01 BELLAS VISTAS;Verde;2588;2909
06-02 CUATRO CAMINOS;Azul;875;
06-02 CUATRO CAMINOS;Verde;3505;4380
06-03 CASTILLEJOS;Azul;456;
06-03 CASTILLEJOS;Verde;2724;3180
06-04 ALMENARA;Azul;539;
06-04 ALMENARA;Verde;3352;3891
06-05 VALDEACEDERAS;Azul;204;
06-05 VALDEACEDERAS;Verde;2150;2354
06-06 BERRUGUETE;Azul;397;
06-06 BERRUGUETE;Verde;1711;2108
07-01 GAZTAMBIDE;Azul;541;
07-01 GAZTAMBIDE;Verde;1693;2234
07-02 ARAPILES;Azul;463;
07-02 ARAPILES;Verde;1660;2123
07-03 TRAFALGAR;Azul;415;
07-03 TRAFALGAR;Verde;2008;2423
07-04 ALMAGRO;Azul;689;
07-04 ALMAGRO;Verde;2345;3034
07-05 RÍOS ROSAS;Azul;533;
07-05 RÍOS ROSAS;Verde;2727;3260
07-06 VALLEHERMOSO;Azul;804;
07-06 VALLEHERMOSO;Verde;2708;3512
08-04 EL PILAR;Azul;631;
08-04 EL PILAR;Verde;6643;7274
08-05 LA PAZ;Azul;575;
08-05 LA PAZ;Verde;4929;
08-05 LA PAZ;Ámbito sanitario;384;5888
09-01 CASA DE CAMPO;Azul;877;
09-01 CASA DE CAMPO;Verde;2949;
09-01 CASA DE CAMPO;Larga estancia;1204;5030
09-02 ARGÜELLES;Azul;374;
09-02 ARGÜELLES;Verde;2111;2485
09-03 CIUDAD UNIVERSITARIA;Azul;603;
09-03 CIUDAD UNIVERSITARIA;Verde;1767;2370
;;;
;;;153321
