Codigo de barrio;Codigo de distrito al que pertenece;Nombre de barrio;Superficie (m2);Perimetro (m)
1;1;PALACIO             ;1471085;5754
1;2;IMPERIAL            ;967500;4557
1;3;PACIFICO            ;750065;4005
1;4;RECOLETOS           ;870857;3927
1;5;EL VISO             ;1708046;5269
1;6;BELLAS VISTAS       ;716261;3443
1;7;GAZTAMBIDE          ;506596;2969
1;8;EL PARDO            ;187642916;87125
1;9;CASA DE CAMPO       ;17470075;19233
1;10;LOS CARMENES        ;1292235;6186
1;11;COMILLAS            ;665999;4257
1;12;ORCASITAS           ;1356371;4664
1;13;ENTREVIAS           ;5996932;11057
1;14;PAVONES             ;1016979;4134
1;15;VENTAS              ;3198045;8207
1;16;PALOMAS             ;1128602;4988
1;17;VILLAVERDE ALTO C.H.;9192451;13710
1;18;CASCO H.VALLECAS    ;49359337;31924
1;19;CASCO H.VICALVARO   ;32924620;33326
1;20;SIMANCAS            ;2278418;6678
1;21;ALAMEDA DE OSUNA    ;1961904;6043
2;1;EMBAJADORES         ;1032822;4267
2;2;ACACIAS             ;1074172;3950
2;3;ADELFAS             ;640692;3584
2;4;GOYA                ;771228;3473
2;5;PROSPERIDAD         ;1043284;5250
2;6;CUATRO CAMINOS      ;1193509;4366
2;7;ARAPILES            ;578534;3096
2;8;FUENTELARREINA      ;1382646;7691
2;9;ARGUELLES           ;755758;5245
2;10;PUERTA DEL ANGEL    ;1374799;5373
2;11;OPAÑEL              ;1106597;4492
2;12;ORCASUR             ;1384234;5962
2;13;SAN DIEGO           ;1069944;4726
2;14;HORCAJO             ;745503;3901
2;15;PUEBLO NUEVO        ;2319230;7746
2;16;PIOVERA             ;3139060;7812
2;17;SAN CRISTOBAL       ;1106718;4810
2;18;SANTA EUGENIA       ;2070637;6831
2;19;VALDEBERNARDO       ;2354258;8336
2;20;HELLIN              ;549031;3988
2;21;AEROPUERTO          ;25132277;26448
3;1;CORTES              ;592070;3731
3;2;CHOPERA             ;566358;3203
3;3;ESTRELLA            ;1025805;4441
3;4;FUENTE DEL BERRO    ;852579;3886
3;5;CIUDAD JARDIN       ;762371;3915
3;6;CASTILLEJOS         ;708501;3556
3;7;TRAFALGAR           ;611950;3505
3;8;PEÑA GRANDE         ;2890405;7331
3;9;CIUDAD UNIVERSITARIA;14248243;19453
3;10;LUCERO              ;1679450;5498
3;11;SAN ISIDRO          ;1899346;6149
3;12;SAN FERMIN          ;1463692;5836
3;13;PALOMERAS BAJAS     ;1724430;5649
3;14;MARROQUINA          ;1789256;6746
3;15;QUINTANA            ;722756;4440
3;16;CANILLAS            ;2516943;7532
3;17;BUTARQUE            ;6425005;12719
3;18;ENSANCHE DE VALLECAS;0;0
3;19;VALDERRIVAS         ;0;0
3;20;AMPOSTA             ;370250;3097
3;21;CASCO H.BARAJAS     ;609202;4033
4;1;JUSTICIA            ;742034;3598
4;2;LEGAZPI             ;1396410;5120
4;3;IBIZA               ;490863;2913
4;4;GUINDALERA          ;1598962;5194
4;5;HISPANOAMERICA      ;1707406;6068
4;6;ALMENARA            ;999369;4011
4;7;ALMAGRO             ;937095;4071
4;8;EL PILAR            ;1359881;5155
4;9;VALDEZARZA          ;1397672;5352
4;10;ALUCHE              ;2849829;7267
4;11;VISTA ALEGRE        ;1589877;6433
4;12;ALMENDRALES         ;772281;3692
4;13;PALOMERAS SURESTE   ;3118722;7827
4;14;MEDIA LEGUA         ;999539;4674
4;15;CONCEPCION          ;885875;5777
4;16;PINAR DEL REY       ;2632846;8271
4;17;LOS ROSALES         ;1510919;5442
4;19;EL CAÑAVERAL        ;0;0
4;20;ARCOS               ;1305192;5074
4;21;TIMON               ;9595252;15415
5;1;UNIVERSIDAD         ;947641;4060
5;2;DELICIAS            ;1057730;4755
5;3;LOS JERONIMOS       ;1900627;5259
5;4;LISTA               ;520399;3232
5;5;NUEVA ESPAÑA        ;1788654;5588
5;6;VALDEACEDERAS       ;1163421;5024
5;7;RIOS ROSAS          ;971220;4060
5;8;LA PAZ              ;2159243;6347
5;9;VALDEMARIN          ;3305105;8300
5;10;CAMPAMENTO          ;9157875;16619
5;11;PUERTA BONITA       ;1607994;5982
5;12;MOSCARDO            ;908875;4248
5;13;PORTAZGO            ;1245274;4834
5;14;FONTARRON           ;964574;6220
5;15;SAN PASCUAL         ;1052925;4458
5;16;APOSTOL SANTIAGO    ;1204621;4726
5;17;LOS ANGELES         ;1944811;5713
5;20;ROSAS               ;9388024;15290
5;21;CORRALEJOS          ;4633048;9753
6;1;SOL                 ;445128;2716
6;2;PALOS DE MOGUER     ;643542;3615
6;3;NIÑO JESUS          ;643202;3548
6;4;CASTELLANA          ;773230;3745
6;5;CASTILLA            ;2160431;6783
6;6;BERRUGUETE          ;607050;3417
6;7;VALLEHERMOSO        ;1068709;4221
6;8;VALVERDE            ;8977802;12223
6;9;EL PLANTIO          ;3554549;9995
6;10;CUATRO VIENTOS      ;5419612;10146
6;11;BUENAVISTA          ;5613749;11612
6;12;ZOFIO               ;775103;3743
6;13;NUMANCIA            ;1849172;5364
6;14;VINATEROS           ;593979;3721
6;15;SAN JUAN BAUTISTA   ;1010843;4012
6;16;VALDEFUENTES        ;16778055;18779
6;20;REJAS               ;5007305;13360
7;2;ATOCHA              ;775561;4999
7;8;MIRASIERRA          ;6975186;13135
7;9;ARAVACA             ;5855800;10853
7;10;LAS AGUILAS         ;3609338;7626
7;11;ABRANTES            ;1564207;5494
7;12;PRADOLONGO          ;1095654;4785
7;15;COLINA              ;559702;3175
7;20;CANILLEJAS          ;1598075;5428
8;8;EL GOLOSO           ;26509171;26489
8;15;ATALAYA             ;248887;2240
8;20;EL SALVADOR         ;1881765;6571
9;15;COSTILLARES         ;1427052;5635
