Codigo de distrito;Numero de barrios;Nombre de distrito;Superficie (m2);Perimetro (m)
1;6;CENTRO              ;5231264;10304
2;7;ARGANZUELA          ;6466400;12834
3;6;RETIRO              ;5465307;9523
4;6;SALAMANCA           ;5387243;10862
5;6;CHAMARTIN           ;9170122;13401
6;6;TETUAN              ;5388121;9925
7;6;CHAMBERI            ;4674105;9020
8;8;FUENCARRAL-EL PARDO ;237810357;94525
9;7;MONCLOA-ARAVACA     ;46531134;41015
10;7;LATINA              ;25417269;28169
11;7;CARABANCHEL         ;14048399;18083
12;7;USERA               ;7755083;11860
13;6;PUENTE DE VALLECAS  ;15005833;17293
14;6;MORATALAZ           ;6110071;10824
15;9;CIUDAD LINEAL       ;11425706;21524
16;6;HORTALEZA           ;27414593;26944
17;5;VILLAVERDE          ;20176220;18390
18;3;VILLA DE VALLECAS   ;51417806;33553
19;4;VICALVARO           ;35193627;34157
20;8;SAN BLAS-CANILLEJAS ;22370042;26698
21;5;BARAJAS             ;41908185;28708
